Bewertung,Nutzer in %,Überschrift
Ja,20.6,Sollten Sachsens Lehrer künftig auch während der Schulzeit Urlaub nehmen dürfen?
Nein,77.6,Sollten Sachsens Lehrer künftig auch während der Schulzeit Urlaub nehmen dürfen?
Das ist mir egal.,1.8,Sollten Sachsens Lehrer künftig auch während der Schulzeit Urlaub nehmen dürfen?
