Bewertung,Nutzer in %,Überschrift
Die von rechts.,45.8,Die Zahl politisch motivierter Straftaten ist in Niedersachsen auf einem Zehn-Jahres-Hoch. Welche machen Ihnen am meisten Sorgen?
Die von links.,4.4,Die Zahl politisch motivierter Straftaten ist in Niedersachsen auf einem Zehn-Jahres-Hoch. Welche machen Ihnen am meisten Sorgen?
Die islamistisch motivierten.,17.5,Die Zahl politisch motivierter Straftaten ist in Niedersachsen auf einem Zehn-Jahres-Hoch. Welche machen Ihnen am meisten Sorgen?
