Bewertung,Nutzer in %,Überschrift
"Ja, das wird gut",23.1,"Trauen Sie der neuen Bundesregierung zu, Deutschland erfolgreich zu regieren?"
"Nein, das traue ich der neuen Regierung nicht zu",65.5,"Trauen Sie der neuen Bundesregierung zu, Deutschland erfolgreich zu regieren?"
Weiß nicht,11.4,"Trauen Sie der neuen Bundesregierung zu, Deutschland erfolgreich zu regieren?"
